"initial_alias","converted_alias","name","description","namespace"
"IFI6","ENSG00000126709","IFI6","interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ISG15","ENSG00000187608","ISG15","ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFIT3","ENSG00000119917","IFIT3","interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MX1","ENSG00000157601","MX1","MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ISG20","ENSG00000172183","ISG20","interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFITM1","ENSG00000185885","IFITM1","interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LY6E","ENSG00000160932","LY6E","lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFIT1","ENSG00000185745","IFIT1","interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MX2","ENSG00000183486","MX2","MX dynamin like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:7533]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OAS1","ENSG00000089127","OAS1","2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"